id,msbase,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,speedlimit,frc,streetname
435,36,23,37,27,25,32,,38,,48,,,38,,45,50,4,Bijlmerdreef
436,29,16,31,27,15,20,,30,,35,,,30,,36,50,4,Bijlmerdreef
437,31,22,,45,22,24,,,,26,42,,43,,32,50,4,Bijlmerdreef
440,34,34,,72,30,33,,,,31,34,37,23,,27,50,4,Bijlmerdreef
446,27,27,26,27,13,18,,24,,31,,,25,,17,50,4,AnonymousRoadnl14155395
449,44,40,40,44,48,54,,57,,43,57,,,42,43,70,4,AnonymousRoadnl14155478
450,27,38,82,36,29,36,31,34,,,,32,,29,22,45,4,AnonymousRoadnl14155478
452,8,17,,,,,,,,,,,,,,30,6,Polderland
453,7,35,15,6,18,60,10,11,3,,,,3,,2,70,4,AnonymousRoadnl14155491
454,35,39,38,39,28,39,56,,,,,,,36,37,50,4,Van der Madeweg
455,32,30,,34,35,36,,,,16,34,43,,29,,50,4,Van der Madeweg
456,8,17,,,,,,,,,,,,,,30,6,Polderland
458,8,17,,,,,,,,,,,,,,30,6,Polderland
462,47,56,,47,49,48,58,35,51,59,47,59,47,47,43,100,4,AnonymousRoadnl14155257
466,30,38,24,32,40,34,,32,,,,34,,16,27,50,4,Diemerdreef
499,15,2,21,27,29,60,45,27,9,,,,17,,10,70,4,AnonymousRoadnl14155491
500,29,36,,30,31,41,26,30,,31,,35,32,30,29,50,4,AnonymousRoadnl14153831
501,42,37,46,,41,52,,43,,,,40,,36,34,50,4,Diemerdreef
502,28,36,,,,,,30,,31,,,,,,50,4,AnonymousRoadnl14153831
503,42,44,44,39,30,46,51,,,,,,,37,42,50,4,Van der Madeweg
504,40,39,,41,39,36,,,,39,44,57,,40,,50,4,Van der Madeweg
505,37,40,31,39,40,44,,32,,,,37,,34,35,50,4,Diemerdreef
470,31,30,29,29,41,28,,49,,35,48,,32,34,31,45,4,AnonymousRoadnl14155478
471,21,35,14,5,32,60,8,11,4,,,,3,,27,70,4,AnonymousRoadnl14155491
472,42,31,44,45,44,60,56,46,43,,,,39,,41,70,4,AnonymousRoadnl14155491
473,75,88,84,79,74,87,81,79,78,79,86,98,92,71,75,70,2,Gooiseweg
474,25,33,,26,35,,,,,8,28,26,,29,,50,4,AnonymousRoadnl14155505
475,34,41,,21,41,40,45,5,39,50,33,32,38,30,39,100,4,AnonymousRoadnl14155257
480,72,69,72,74,79,80,84,76,79,77,93,91,82,84,,70,2,Gooiseweg
486,46,41,46,48,48,52,,46,,,,48,,47,37,50,4,Diemerdreef
489,41,40,37,43,39,46,,38,,,,45,,39,34,50,4,Diemerdreef
495,73,73,71,74,73,82,88,76,78,78,95,94,82,82,,70,2,Gooiseweg
514,44,53,46,39,36,43,39,,,,,,,25,46,50,4,Van der Madeweg
518,47,40,48,47,46,54,,46,,,,47,,47,36,50,4,Diemerdreef
520,32,33,29,44,,56,34,46,44,28,39,15,49,,48,50,3,Daalwijkdreef
521,23,15,,,,,,15,,,,12,,,,50,4,Bergwijkdreef
522,32,34,42,42,52,34,27,43,,32,,39,22,,64,50,3,Daalwijkdreef
525,31,23,39,38,53,39,28,36,,18,,41,41,,36,50,3,Daalwijkdreef
528,25,30,12,43,39,40,31,44,43,28,39,12,49,,48,50,3,Daalwijkdreef
529,41,41,43,46,,56,36,47,54,41,44,40,49,,26,50,3,Daalwijkdreef
530,26,12,34,19,52,39,,35,24,,,21,14,,52,50,3,Daalwijkdreef
531,19,24,,,,,20,18,,30,,14,36,,,50,4,Bergwijkdreef
532,31,22,34,26,52,36,,36,21,,,26,36,,51,50,3,Daalwijkdreef
534,30,9,34,16,52,23,,40,,,,20,13,,64,50,3,Daalwijkdreef
537,38,40,40,46,,56,36,46,54,40,42,38,49,,48,50,3,Daalwijkdreef
538,38,41,44,39,52,46,,42,35,,,42,36,,51,50,3,Daalwijkdreef
539,45,44,47,48,,56,40,50,59,40,45,48,48,,26,50,3,Daalwijkdreef
540,46,46,45,50,54,56,36,49,44,,,49,52,,53,50,3,Daalwijkdreef
541,44,45,48,52,,52,40,53,54,40,43,49,47,,26,50,3,Daalwijkdreef
549,48,42,,,,,,,,,,,46,,,50,4,Dalsteindreef
550,48,49,,,,,39,,,,,,,50,,50,4,Dalsteindreef
553,74,72,73,77,76,83,83,76,82,78,100,95,84,73,,70,2,Gooiseweg
570,75,77,79,78,76,77,89,73,77,81,78,91,91,73,77,70,2,Gooiseweg
581,74,80,83,74,75,81,81,71,79,75,78,85,94,73,78,70,2,Gooiseweg
586,74,73,74,77,75,89,80,76,79,76,93,84,82,77,,70,2,Gooiseweg
594,47,46,,,57,,,,,,,,,13,,50,5,Dalsteindreef
598,46,42,,,37,,,,,,,,,133,,50,5,Dalsteindreef
601,50,38,,,28,,,,,,,,,40,,50,5,Dalsteindreef
602,49,40,,,,,,,,,,,51,,,50,4,Dalsteindreef
603,51,29,,,,,42,,,,,,,51,,50,4,Dalsteindreef
605,38,26,,,,,32,,,,,,,47,,50,4,Dalsteindreef
