id,msbase,ms1500,ms1515,ms1530,ms1545,ms1600,ms1615,ms1630,ms1645,ms1700,ms1715,ms1730,ms1745,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,speedlimit,frc,streetname,base_hits
5283,93,97,96,100,90,94,94,94,95,92,95,93,99,98,100,100,99,101,103,102,94,100,100,88,92,94,102,100,0,E35,1835
5284,96,96,105,101,102,97,103,104,90,94,99,98,101,99,103,105,102,104,102,108,129,104,109,97,88,100,98,100,0,A2,376
5285,96,96,103,101,104,100,106,104,90,93,101,98,101,95,103,107,102,105,104,109,133,106,110,97,88,100,99,100,0,A2,378
5286,97,92,101,95,90,85,80,82,84,92,87,93,103,100,102,106,68,88,84,81,71,82,78,94,94,,104,100,0,A2,266
5287,95,95,97,91,72,74,69,70,81,96,88,85,95,95,97,97,48,40,50,41,45,52,73,87,97,100,99,100,0,E35,1867
5395,33,,,,,,,,,,,,,,38,44,41,,,,,,43,,,,,50,4,Machineweg,34
5292,35,37,44,,33,39,,,,34,46,34,,25,,,18,35,31,48,,,46,,,,35,50,4,Hoofdenburgsingel,27
5293,35,,30,33,,41,,34,19,,,,,,43,33,,22,33,,38,42,,47,42,,,50,4,Hoofdenburgsingel,21
5296,41,44,,36,,38,45,,42,,,,38,,41,,35,46,,48,46,44,,45,,,,50,4,Machineweg,34
5297,39,,,,38,46,47,,45,38,,42,,49,64,47,44,,,,,,36,,26,,,50,4,Machineweg,34
5298,33,39,40,,31,35,,,,34,43,34,,34,,,30,33,35,44,,,40,,,,34,50,4,Hoofdenburgsingel,27
5299,35,,31,31,,40,,30,27,,,,,,43,33,,24,2,6,36,42,,43,41,,,50,4,Hoofdenburgsingel,20
5300,42,44,,38,,50,53,,42,,,,38,,,49,40,46,,54,46,49,,45,,,,50,4,Machineweg,34
5301,38,,,,38,61,47,,44,38,,42,,49,64,47,44,,,,,,33,,26,,,50,4,Machineweg,33
5304,42,44,,38,,50,53,,42,,,,38,,,49,39,46,,54,46,47,,45,,,,50,4,Machineweg,34
5305,39,,,,38,56,47,,44,38,,42,,49,64,47,44,,,,,,33,,26,,,50,4,Machineweg,34
5308,36,,,,37,46,43,,37,36,,41,,,38,44,43,,,,,,45,,,,,50,4,Machineweg,34
5309,36,39,,33,,37,40,,20,,,,34,,41,,33,42,,42,36,40,,40,,,,50,4,Machineweg,36
5316,35,,30,35,,41,,34,11,,,,,,43,33,,22,34,,38,43,,47,42,,,50,4,Hoofdenburgsingel,21
5317,37,37,45,,34,39,,,,34,48,34,,25,,,18,35,31,48,,,50,,,,35,50,4,Hoofdenburgsingel,25
5320,38,,,,42,46,45,,41,39,,42,,49,60,45,44,,,,,,40,,,,,50,4,Machineweg,34
5321,38,46,,34,,37,40,,42,,,,35,,40,,33,46,,42,36,40,,42,,,,50,4,Machineweg,36
5322,32,41,35,,,29,,,,34,40,33,,35,,,,32,35,41,,,38,,,,31,50,4,Hoofdenburgsingel,27
5323,32,,31,31,,38,,27,25,,,,,,43,33,,26,1,2,36,42,,40,41,,,50,4,Hoofdenburgsingel,20
5328,32,41,35,,,29,,,,34,40,33,,35,,,,32,35,41,,,38,,,,31,50,4,Hoofdenburgsingel,27
5329,32,,31,30,,38,,25,25,,,,,,43,33,,26,1,2,36,42,,40,41,,,50,4,Hoofdenburgsingel,20
5334,37,,,,47,61,47,,46,48,,55,,49,51,57,47,,,,,,42,,32,,,50,4,Machineweg,33
5335,43,47,,42,,50,53,,45,,,,38,,,49,39,49,,54,46,50,,53,,,,50,4,Machineweg,34
5342,61,,,,73,76,75,67,66,69,,67,,78,75,73,69,,,,,65,,,64,,,60,4,Machineweg,33
5343,61,63,,65,,67,62,,62,,,,79,,,62,63,66,,78,57,72,,74,,,,60,4,Machineweg,34
5347,24,,,,,,,,,,,,,,36,33,26,,32,,31,33,,35,22,,,45,4,AnonymousRoadnl14153457,53
5350,35,,,,,,,27,,36,30,,,39,,,29,30,29,34,,,39,,,,26,50,4,Hoofdenburgsingel,24
5352,30,,,,,,,,,23,24,,42,,23,33,,,33,,34,40,,36,31,,,50,4,Hoofdenburgsingel,21
5358,42,,,,,,,,,,,,,,42,,46,,56,47,24,,,,,,,50,3,Muiderstraatweg,67
5366,45,46,46,45,39,43,17,36,50,38,51,38,54,,53,,48,,60,53,7,,,,,,,50,3,Muiderstraatweg,67
5367,47,52,49,46,56,46,49,54,51,50,39,56,50,51,52,49,50,49,58,48,43,,52,,,,,50,3,Muiderstraatweg,56
5385,39,,,,,,42,,,49,,,,36,,,25,34,32,47,,,48,,,,40,50,4,Hoofdenburgsingel,24
5387,39,,46,40,47,50,58,,,,38,,,,43,33,,,38,,38,43,,46,42,,,50,4,Hoofdenburgsingel,21
5393,32,,,,,,,,,21,,,,,41,,33,37,,42,36,40,,33,,,,50,4,Machineweg,36
5454,47,43,45,45,39,40,21,52,52,,46,46,29,,52,,46,,61,55,,,,,,,,50,3,Muiderstraatweg,61
5455,47,58,49,48,55,40,49,46,46,50,,51,50,46,50,44,48,45,53,46,43,,51,,,,,50,3,Muiderstraatweg,55
5494,38,45,46,45,41,33,30,16,45,37,,38,41,34,41,40,38,37,41,44,41,,42,47,,,,50,3,Muiderstraatweg,64
5495,38,43,37,38,39,43,30,32,41,31,47,47,,,35,57,47,,34,47,,,,,,,,50,3,Muiderstraatweg,63
5512,44,45,43,45,39,45,30,52,50,,53,44,,,40,51,44,,51,51,,,,,,,,50,3,Muiderstraatweg,64
5513,47,44,47,46,41,42,44,49,45,39,,42,48,44,48,47,40,44,49,44,46,,50,45,,,,50,3,Muiderstraatweg,60
5568,48,43,51,54,49,57,37,42,46,56,57,70,54,,49,49,56,55,53,44,53,47,56,,,,57,80,3,Provincialeweg,144
5570,50,,,,,,,,,,,,,,49,54,56,58,53,49,53,47,55,,,,56,80,3,Provincialeweg,144
5576,36,30,42,33,34,34,32,29,28,44,24,22,25,24,25,44,34,28,37,55,34,,,56,,,37,80,3,Provincialeweg,143
5584,39,,,,,,,,,,,,,,35,45,,38,47,47,44,,44,,,,,80,3,Provincialeweg,52
5610,49,,,,56,64,58,49,52,52,,52,,56,72,,61,,,,,62,,,64,,,60,4,Machineweg,35
5611,46,,,,50,60,55,48,51,46,,52,,56,57,40,56,,,,,56,,,59,,,60,4,Machineweg,33
5614,90,,,51,,,,44,,,,,,19,15,10,12,8,6,,2,1,1,28,14,62,104,100,0,AnonymousRoadnl10153338,612
5706,64,,,,,,,,,,,,21,61,80,71,,68,72,68,64,,,,59,56,61,80,4,Diemerpolderweg,43
5619,49,,,,,57,,,85,98,,,,62,56,47,75,32,57,41,48,,,51,,,60,80,3,Weesperstraat,84
5621,50,,,,22,,,43,,,,,,40,66,,,,,,,,,,,,,80,3,Weesperstraat,47
5623,41,,,,66,76,68,59,64,61,,57,,,32,50,40,32,53,36,51,47,58,,,,58,80,3,Provincialeweg,144
5624,58,42,30,54,49,60,39,50,48,56,63,38,52,67,82,,69,,,,,60,,,64,,,60,4,Machineweg,35
5625,58,62,56,59,,60,55,,60,,,,76,,,64,53,62,60,62,55,63,57,66,,,,60,4,Machineweg,37
5626,97,98,98,97,94,92,54,45,31,29,35,58,29,28,33,22,29,32,31,30,33,32,45,32,41,47,105,100,0,A2,1503
