id,segment id,length,frc,speedlimit,streetname,geom,msbase,ms1500,ms1515,ms1530,ms1545,ms1600,ms1615,ms1630,ms1645,ms1700,ms1715,ms1730,ms1745,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,base_hits
17626,-15280001305925,93.82,4,50,Rooseveltlaan,,36.00,33.00,18.00,29.00,4.00,16.00,8.00,19.00,7.00,6.00,21.00,14.00,41.00,12.00,8.00,5.00,6.00,20.00,36.00,36.00,32.00,36.00,39.00,37.00,35.00,36.00,25,118
17663,15280001669481,334.19,4,50,Rooseveltlaan,,35.00,34.00,26.00,26.00,30.00,33.00,33.00,37.00,33.00,36.00,40.00,31.00,31.00,32.00,,48.00,36.00,30.00,,24.00,31.00,44.00,,37.00,65.00,39.00,36,142
17679,15280002358719,191.65,4,50,Rooseveltlaan,,42.00,39.00,25.00,46.00,30.00,38.00,36.00,45.00,18.00,4.00,47.00,34.00,39.00,43.00,33.00,8.00,28.00,35.00,38.00,35.00,37.00,43.00,49.00,43.00,46.00,37.00,25,121
17743,15280002790303,423.93,0,100,A9,,96.00,97.00,98.00,97.00,99.00,97.00,99.00,100.00,97.00,100.00,96.00,98.00,97.00,99.00,98.00,100.00,96.00,100.00,96.00,100.00,101.00,98.00,102.00,99.00,99.00,101.00,99,1969
17746,15280002310529,213.05,0,100,A9,,98.00,98.00,99.00,99.00,100.00,99.00,100.00,100.00,97.00,100.00,99.00,97.00,99.00,99.00,99.00,101.00,99.00,101.00,96.00,100.00,100.00,100.00,104.00,100.00,101.00,102.00,101,1970
60,15280002790384,25.34,4,50,Kromwijkdreef,,31.00,33.00,34.00,,24.00,31.00,,,30.00,26.00,33.00,,43.00,18.00,,25.00,20.00,,,,26.00,27.00,,,,,39,47
62,15280002790393,7.57,4,50,Kromwijkdreef,,11.00,,31.00,13.00,27.00,,6.00,6.00,11.00,35.00,23.00,19.00,24.00,5.00,23.00,,,,8.00,,4.00,48.00,34.00,,28.00,,,21
65,15280002250416,20.30,4,50,Kromwijkdreef,,33.00,,40.00,,20.00,31.00,16.00,24.00,31.00,37.00,,38.00,,,,35.00,,54.00,32.00,,,,,,,20.00,26,21
66,15280002790392,10.74,4,50,Kromwijkdreef,,12.00,,31.00,10.00,35.00,6.00,2.00,8.00,11.00,46.00,6.00,19.00,24.00,5.00,22.00,,,,8.00,,4.00,48.00,1.00,,28.00,,,21
67,-15280002411029,273.51,0,100,Gaasperdammerweg,,87.00,85.00,97.00,87.00,89.00,90.00,84.00,86.00,85.00,81.00,90.00,90.00,94.00,93.00,89.00,95.00,88.00,91.00,86.00,93.00,89.00,88.00,97.00,102.00,93.00,93.00,96,606
17282,15280049538956,47.89,0,100,A2,,98.00,96.00,97.00,94.00,87.00,73.00,72.00,73.00,72.00,80.00,77.00,76.00,78.00,74.00,87.00,82.00,88.00,81.00,74.00,76.00,100.00,102.00,100.00,102.00,102.00,101.00,105,2115
1055,15280002664226,47.22,4,50,Julianaplein,,18.00,18.00,16.00,8.00,8.00,31.00,22.00,14.00,46.00,14.00,15.00,17.00,37.00,27.00,22.00,14.00,16.00,32.00,31.00,29.00,20.00,29.00,42.00,32.00,32.00,33.00,47,205
1059,15280002664223,75.78,4,50,Julianaplein,,22.00,32.00,9.00,42.00,19.00,50.00,34.00,15.00,9.00,22.00,35.00,46.00,47.00,32.00,45.00,42.00,37.00,79.00,47.00,15.00,39.00,31.00,49.00,,30.00,44.00,38,91
1062,15280001314641,9.55,4,50,Julianaplein,,26.00,39.00,9.00,42.00,,58.00,47.00,24.00,,22.00,35.00,46.00,47.00,32.00,45.00,42.00,37.00,87.00,59.00,42.00,21.00,44.00,49.00,,30.00,44.00,38,81
1068,15280001380541,22.65,4,50,Julianaplein,,26.00,42.00,36.00,38.00,,3.00,40.00,24.00,,10.00,,31.00,37.00,8.00,5.00,36.00,33.00,46.00,45.00,30.00,41.00,31.00,40.00,49.00,47.00,44.00,37,72
1078,15280001380540,42.09,4,50,Julianaplein,,26.00,35.00,24.00,28.00,,31.00,26.00,24.00,25.00,21.00,28.00,46.00,47.00,16.00,28.00,23.00,28.00,35.00,33.00,25.00,32.00,36.00,40.00,48.00,32.00,39.00,38,216
1107,15280049405297,30.65,4,50,Julianaplein,,24.00,28.00,8.00,18.00,28.00,33.00,25.00,24.00,21.00,23.00,14.00,24.00,35.00,19.00,27.00,27.00,,25.00,23.00,23.00,28.00,36.00,26.00,23.00,,24.00,32,84
1108,-15280001314630,6.43,4,50,Hugo de Vrieslaan,,33.00,33.00,23.00,27.00,29.00,36.00,36.00,26.00,29.00,33.00,25.00,31.00,53.00,29.00,33.00,34.00,108.00,39.00,35.00,42.00,38.00,43.00,39.00,28.00,,47.00,42,126
1109,15280002664224,19.02,4,50,Julianaplein,,25.00,39.00,9.00,42.00,19.00,58.00,47.00,24.00,,22.00,35.00,46.00,47.00,32.00,45.00,42.00,37.00,87.00,59.00,42.00,39.00,44.00,49.00,,30.00,44.00,38,87
1110,15280002664225,72.30,4,50,Julianaplein,,29.00,28.00,8.00,8.00,14.00,31.00,18.00,27.00,46.00,15.00,14.00,31.00,44.00,32.00,29.00,20.00,34.00,35.00,35.00,32.00,33.00,35.00,39.00,38.00,32.00,38.00,35,207
1116,15280049408056,57.24,4,50,Hugo de Vrieslaan,,47.00,53.00,52.00,55.00,,,47.00,88.00,,52.00,,,52.00,53.00,51.00,32.00,50.00,62.00,44.00,40.00,50.00,46.00,54.00,51.00,63.00,56.00,38,88
1117,-15280049408057,104.67,4,50,Hugo de Vrieslaan,,44.00,44.00,40.00,40.00,38.00,43.00,48.00,45.00,39.00,39.00,40.00,48.00,58.00,38.00,40.00,43.00,124.00,47.00,51.00,45.00,59.00,35.00,51.00,47.00,47.00,63.00,43,119
