id,msbase,ms1500,ms1515,ms1530,ms1545,ms1600,ms1615,ms1630,ms1645,ms1700,ms1715,ms1730,ms1745,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,speedlimit,frc,streetname,base_hits
15898,36,54,,39,,35,40,51,39,46,,39,40,48,,,43,,37,,47,55,52,45,42,,41,50,3,Dolingadreef,65
15902,31,33,,32,47,42,31,38,28,33,,33,23,,,,,,,,,,,,,,,50,3,Dolingadreef,66
15905,19,,,,20,,,,21,10,,20,,,,,,,,,,,,,,,,50,3,Dolingadreef,28
15912,16,,20,23,23,24,11,20,24,29,10,17,12,,,,,,,,,,,,,,,50,3,Burgemeester Stramanweg,73
15970,15,38,23,19,25,,15,14,18,29,10,,15,,,,,,,,,,,,,,,50,3,Daalwijkdreef,114
15994,48,57,,38,,48,53,59,47,34,,45,,,,,,,,,,,,,,,,50,3,Daalwijkdreef,72
15997,46,51,,35,,42,26,52,33,34,,36,,,,,,,,,,,,,,,,50,3,Daalwijkdreef,74
16000,29,35,36,42,33,45,25,19,32,38,22,35,36,,,,,,,,,,,,,,,50,3,Daalwijkdreef,113
16003,48,55,,35,,50,53,59,41,34,,43,,,,,,,,,,,,,,,,50,3,Daalwijkdreef,74
16012,19,28,23,16,23,,23,19,14,22,23,10,18,,,,,,,,,,,,,,,50,3,Daalwijkdreef,93
16018,28,32,,27,,14,27,33,20,34,,29,,,,,,11,,,,,,,,,13,50,3,Daalwijkdreef,73
16038,40,45,,40,,30,44,47,35,34,,39,,,,,,22,,,,,,,,,20,50,3,Daalwijkdreef,72
16041,30,35,,40,,30,27,33,25,34,,32,,41,,40,29,,28,,29,34,,38,,28,34,50,3,Daalwijkdreef,72
16048,13,34,23,4,25,,20,8,11,15,15,9,9,4,5,4,9,41,16,19,32,29,,47,,31,,50,3,Daalwijkdreef,96
16141,57,57,,,,64,74,84,57,61,,59,61,,,,,,13,,,,,,,,,50,4,Diemerpolderweg,43
16143,56,55,,,,54,69,82,68,59,,61,,,,,,,,,,,,,,,,50,4,Diemerpolderweg,21
16238,50,52,,,,63,67,78,54,67,,58,58,69,58,65,60,56,55,65,,55,54,55,57,55,,50,4,Diemerpolderweg,44
16156,54,47,,,,62,61,79,48,57,,39,57,,,,,,,,,,,,,,,50,4,Diemerpolderweg,44
16166,31,93,26,,25,36,,25,19,30,36,27,26,,,21,52,,,33,,49,,,,,,30,4,Landlust,31
16170,41,,,,,,43,51,,22,,,,,,,,,,,,,,,,,,50,4,Ouddiemerlaan,40
16172,41,38,34,,,40,,,41,,46,41,40,,,,,,,,,,,,,,,50,4,Ouddiemerlaan,30
16186,42,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2,Wibautstraat,472
16239,18,21,,,,,,,,,,,,4,,,,,,,,,,,,,22,50,4,Vogelweg,13
16190,97,91,34,25,15,41,25,35,35,50,23,32,30,,,,,,,,,,,,,,,100,0,A9,317
16194,87,88,88,89,89,89,84,85,85,83,87,89,88,37,,,38,,,,,,,,,36,,100,0,A9,585
16199,97,84,38,28,27,41,23,44,36,46,23,35,43,,,,,,,,,,,,,,,100,0,A9,585
16203,94,56,33,21,35,28,25,42,31,38,13,28,30,47,,,41,,,,,,,,,39,,100,0,A9,756
16225,97,98,98,101,98,98,95,86,51,29,28,20,28,,,40,,,,,,,,,,,41,100,0,A1,2494
16228,94,97,97,98,97,100,99,98,99,93,97,99,99,99,97,99,101,95,97,99,98,99,99,90,96,97,94,100,0,A1,2516
